Nr,Rechnung versendet,Sendung erstellt,Versandprofil hinzugefuegt,Pickliste erstellt,Packliste erstellt,Paketliste gedruckt,Versendet,Fehler
1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
11,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
13,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
14,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE